"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,,,,,,";"VIA-0.6mm";18;"";;;
2;"C1";"C_0805_HandSoldering";1;"";;;
3;"D1";"LED_1206";1;"";;;
4;"P4";"Pin_Header_Straight_1x02";1;"";;;
5;"Q2";"TO-220_Neutral123_Vertical_LargePads";1;"";;;
6;"R1,R2,R3,R4,R5";"R_0805_HandSoldering";5;"";;;
7;"P3";"screw-2,54-2P";1;"";;;
8;"D2";"DO-214AC(SMA)";1;"";;;
9;"P5";"screw-5-2P";1;"";;;
10;"";"Logo_silk_OSHW_6x6mm";1;"";;;
11;"";"STM32";1;"";;;
12;"";"1pin";1;"";;;
13;"Q1";"SOT-23";1;"";;;
14;"P1";"Pin_Header_Angled_2x08";1;"";;;
